City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Key West,US,89.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
253,Bara,NG,72.55,overcast clouds,10.3744,10.7288,
254,Lorengau,PG,83.98,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
255,Tiznit,MA,76.6,broken clouds,29.5833,-9.5,
256,Wajima,JP,74.08,light intensity shower rain,37.4,136.9,Wajiima Onsen Yashio
257,Mahebourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
258,Chaykovskiy,RU,65.73,broken clouds,56.7686,54.1148,Гостеприимные квартиры на Ленина 40
259,Axim,GH,73.45,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
261,Bonthe,SL,76.06,light rain,7.5264,-12.505,Bonthe Holiday Village
262,Great Yarmouth,GB,70.02,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
263,Sibolga,ID,74.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
265,Princeton,US,86.02,few clouds,25.5384,-80.4089,American Best Inn
267,Kedougou,SN,73.13,light rain,12.5579,-12.1743,Relais de Kédougou
268,Ucluelet,CA,75.09,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
270,Tamandare,BR,71.87,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
271,Jhinjhak,IN,79.86,few clouds,26.5667,79.7333,Marriage lawn
272,Boralday,KZ,66.06,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
274,Hay River,CA,67.98,smoke,60.8156,-115.7999,Ptarmigan Inn
276,Andros Town,BS,85.96,few clouds,24.7,-77.7667,Hanks place
277,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
279,Prainha,BR,76.53,overcast clouds,-1.8,-53.48,Casa Rocha
280,Novyy Buh,UA,73.22,scattered clouds,47.6931,32.5216,"Хостел ""У Наталі"""
282,Nakasongola,UG,65.88,overcast clouds,1.3089,32.4564,Norena Hotel Nakasongola
283,Choix,MX,88.5,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
284,Basco,PH,84.2,clear sky,20.4487,121.9702,Nathaniel's Lodge
285,Truth Or Consequences,US,85.15,scattered clouds,33.1284,-107.2528,Charles Hot Springs
288,Elizabeth City,US,80.62,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
289,La Ronge,CA,73.65,smoke,55.1001,-105.2842,Northland Motor Hotel
290,Sinjar,IQ,86.31,clear sky,36.3209,41.8754,زوماني فون 1
291,Gotsu,JP,75.85,broken clouds,35.0,132.2167,Yurusato
293,Pio Ix,BR,74.26,overcast clouds,-6.8375,-40.5792,Hotel Central
296,Boyolangu,ID,74.62,overcast clouds,-8.1181,111.8935,Yos ega cv
297,Half Moon Bay,US,87.04,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
298,Alanya,TR,75.33,clear sky,36.5438,31.9998,Panorama Hotel
299,Sao Joao Da Barra,BR,69.87,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
300,Mirandopolis,BR,72.34,clear sky,-21.1336,-51.1017,Hotel Piriquitu's
302,Issoire,FR,65.46,broken clouds,45.55,3.25,ACE Hôtel Issoire
303,Fidenza,IT,71.82,clear sky,44.864,10.0667,Fidenza Hotel
305,Pocinhos,BR,66.49,broken clouds,-7.0767,-36.0611,Hotel Central
306,Abu Samrah,SY,72.55,clear sky,35.3029,37.1841,
311,Tarauaca,BR,76.84,clear sky,-8.1614,-70.7656,Flat Temporada
316,Les Cayes,HT,80.2,scattered clouds,18.2,-73.75,Villa Orphee
318,Soyo,AO,70.86,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
320,Srivaikuntam,IN,78.33,overcast clouds,8.6167,77.9333,Bright cafe
321,Gillette,US,82.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
322,Traverse City,US,77.11,broken clouds,44.7631,-85.6206,Bayshore Resort
323,Lagoa,PT,72.54,light rain,39.05,-27.9833,Casa Das Faias
324,Marinette,US,72.05,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
326,Dakoro,NE,81.45,light rain,14.5106,6.765,Shagon mai liverpool
327,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
329,Envira,BR,77.59,clear sky,-7.3,-70.2167,
331,Duluth,US,68.07,light rain,46.7833,-92.1066,South Pier Inn
332,Carnarvon,AU,66.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
333,Yuncheng,CN,68.7,overcast clouds,35.0231,110.9928,晋州快捷酒店
334,Havelock,US,81.95,few clouds,34.8791,-76.9013,Sherwood Motel
337,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
338,Umm Kaddadah,SD,80.44,broken clouds,13.6017,26.6876,
340,Uruguaiana,BR,66.13,clear sky,-29.7547,-57.0883,Fares Turis Hotel
342,Aklavik,CA,65.25,overcast clouds,68.2191,-135.0107,Aklavik Inn
343,Auki,SB,85.59,broken clouds,-8.7676,160.7034,Auki Motel
344,Kutum,SD,75.42,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
345,Smithers,CA,88.12,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
346,Ladario,BR,75.83,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
347,Huejuquilla El Alto,MX,77.41,broken clouds,22.6,-103.8667,Hotel Huexuquillan
348,Abha,SA,66.45,clear sky,18.2164,42.5053,Abha Hotel
351,Tucuma,BR,76.64,few clouds,-0.1833,-50.05,
354,Hamilton,US,79.05,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
358,Hami,CN,74.93,overcast clouds,42.8,93.45,Laoyutang Resort
361,Pozo Colorado,PY,75.43,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
363,Shetpe,KZ,70.34,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
364,Kalmunai,LK,77.43,overcast clouds,7.4167,81.8167,VS Villa
365,Ozark,US,83.39,clear sky,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
366,Bengkulu,ID,74.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
368,Mansa,IN,78.06,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
369,Casablanca,MA,71.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
370,Touros,BR,74.75,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
371,Zonguldak,TR,68.85,light rain,41.25,31.8333,Yazioren Koyu Muhtarligi
372,Rock Sound,BS,83.77,few clouds,24.9,-76.2,Pink Corral Bay Property
374,Canon City,US,85.39,clear sky,38.441,-105.2424,Travel Inn Motel
375,Virginia Beach,US,83.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
376,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
377,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
378,Nantucket,US,75.99,clear sky,41.2835,-70.0995,Jared Coffin House
379,Nishihara,JP,89.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
381,Gimli,CA,66.22,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
382,Lompoc,US,88.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
383,Dungarpur,IN,72.99,overcast clouds,23.8333,73.7167,Gayatri Hotel
386,Kushima,JP,83.97,light rain,31.4583,131.2333,Hanaoka
388,Mount Pleasant,US,81.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
389,Kampene,CD,72.34,broken clouds,-3.6,26.6667,
390,Mangai,CD,76.5,scattered clouds,-4.05,19.5333,
391,Kanchanaburi,TH,75.36,overcast clouds,14.6333,99.1,แพบุญศรี
392,Presidente Dutra,BR,85.86,overcast clouds,-5.29,-44.49,Pousada Planalto
394,Sabang,ID,80.15,overcast clouds,5.8933,95.3214,Hotel Citra
397,Valleyview,CA,80.64,clear sky,55.0667,-117.2859,Paradise Inn & Suites
399,Mampong,GH,68.47,scattered clouds,7.0627,-1.4001,Adom Upscale Hotel
400,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
401,Meadow Lake,US,81.46,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
403,Matara,LK,77.04,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
405,Ocean City,US,82.58,scattered clouds,39.2776,-74.5746,Biscayne Suites
406,Mogok,MM,66.88,few clouds,22.9167,96.5,MOGOK HILL HOTEL
408,Buala,SB,84.52,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
410,Tadine,NC,77.2,clear sky,-21.55,167.8833,
415,Hangu,CN,71.64,broken clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
418,Yelizovo,RU,66.34,broken clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
420,Olga,RU,69.33,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
421,Arrecife,ES,73.38,few clouds,28.963,-13.5477,Hotel Lancelot
423,Golden,US,87.96,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
424,Terralba,IT,77.85,clear sky,39.7192,8.6392,B&B Neverland
425,Grants,US,77.23,overcast clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
426,Grodzisk Wielkopolski,PL,69.13,clear sky,52.2276,16.3653,"Derby. Pub, noclegi"
427,Kaina,NG,77.0,moderate rain,12.6374,8.5873,
431,Wyndham,US,79.95,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
433,Frutigen,CH,66.13,overcast clouds,46.5878,7.6475,Hotel Restaurant National - Confiserie Philipp Blaser
434,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
435,Guiratinga,BR,74.93,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
436,Glen Allen,US,80.65,clear sky,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
438,Kaele,CM,69.73,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
439,Lata,PT,65.07,overcast clouds,40.1629,-8.3327,Casa Maquia
441,Veraval,IN,79.41,broken clouds,20.9,70.3667,Lords Inn Somnath
442,Huron,US,76.73,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
444,Dickinson,US,86.13,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
446,Torbay,CA,69.58,broken clouds,47.6666,-52.7314,Gallows Cove
447,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
448,Boende,CD,71.74,light rain,-0.2167,20.8667,
449,The Valley,AI,83.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
452,Goundam,ML,85.06,broken clouds,16.4145,-3.6708,
