City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Frohnleiten,AT,2022-08-25 00:17:25,47.2667,15.3167,62.22,96,54,5.3,broken clouds
105,Pokosnoye,RU,2022-08-25 00:17:25,55.5258,101.0536,48.0,98,100,5.5,overcast clouds
106,Blagoyevo,RU,2022-08-25 00:17:26,63.3667,47.9167,52.77,73,67,4.38,broken clouds
107,Portland,US,2022-08-25 00:13:45,45.5234,-122.6762,96.35,40,20,10.36,few clouds
108,Belmonte,BR,2022-08-25 00:17:27,-15.8631,-38.8828,70.52,79,18,6.13,few clouds
109,Dikson,RU,2022-08-25 00:10:39,73.5069,80.5464,38.61,97,100,28.92,overcast clouds
110,Tiksi,RU,2022-08-25 00:10:46,71.6872,128.8694,43.74,77,53,7.54,broken clouds
111,Volksrust,ZA,2022-08-25 00:17:28,-27.3654,29.8818,45.73,49,0,3.04,clear sky
112,Sovetskiy,RU,2022-08-25 00:17:28,61.3614,63.5842,57.13,55,61,5.53,broken clouds
113,Cruzeiro Do Sul,BR,2022-08-25 00:17:29,-29.5128,-51.9853,68.07,90,23,1.79,few clouds
114,Rawson,AR,2022-08-25 00:17:29,-43.3002,-65.1023,51.62,36,6,8.63,clear sky
115,Lazaro Cardenas,MX,2022-08-25 00:17:30,17.9583,-102.2,84.67,66,15,8.46,few clouds
116,Keuruu,FI,2022-08-25 00:17:31,62.2667,24.7,57.38,96,100,6.35,overcast clouds
117,Beaverlodge,CA,2022-08-25 00:17:31,55.2166,-119.4361,83.55,29,0,8.3,clear sky
118,Cape Town,ZA,2022-08-25 00:10:12,-33.9258,18.4232,59.11,80,100,15.01,light rain
119,Cayenne,GF,2022-08-25 00:09:04,4.9333,-52.3333,77.04,88,0,0.0,clear sky
120,Mananjary,MG,2022-08-25 00:17:32,-21.2167,48.3333,63.84,87,19,0.56,few clouds
121,Proletariy,RU,2022-08-25 00:17:33,58.4342,31.7046,63.27,61,20,6.08,few clouds
122,Guerrero Negro,MX,2022-08-25 00:16:58,27.9769,-114.0611,80.49,63,63,15.12,broken clouds
123,Senanga,ZM,2022-08-25 00:16:05,-16.1167,23.2667,58.69,49,53,6.55,broken clouds
124,Tokmak,UA,2022-08-25 00:17:34,47.2514,35.7058,76.01,25,0,15.39,clear sky
125,Vao,NC,2022-08-25 00:11:56,-22.6667,167.4833,72.3,73,14,5.26,few clouds
126,Narva-Joesuu,EE,2022-08-25 00:17:35,59.4589,28.0408,65.17,90,100,5.3,overcast clouds
127,Husavik,IS,2022-08-25 00:16:00,66.0449,-17.3389,47.91,99,100,7.63,overcast clouds
128,Maragogi,BR,2022-08-25 00:16:44,-9.0122,-35.2225,71.46,82,61,9.44,broken clouds
129,High Rock,BS,2022-08-25 00:17:36,26.6208,-78.2833,84.22,68,88,8.12,overcast clouds
130,Bathsheba,BB,2022-08-25 00:17:36,13.2167,-59.5167,81.21,89,75,18.41,broken clouds
131,East London,ZA,2022-08-25 00:17:37,-33.0153,27.9116,76.42,29,0,12.08,clear sky
132,Novoagansk,RU,2022-08-25 00:17:37,61.9449,76.6625,60.35,90,100,11.32,overcast clouds
133,Wageningen,NL,2022-08-25 00:17:38,51.9667,5.6667,72.1,80,60,6.91,broken clouds
134,Castro,BR,2022-08-25 00:14:46,-24.7911,-50.0119,54.52,81,43,2.86,scattered clouds
135,Faanui,PF,2022-08-25 00:11:25,-16.4833,-151.75,76.05,81,4,10.89,light rain
136,Ola,RU,2022-08-25 00:17:39,59.5833,151.2833,53.04,87,100,2.59,overcast clouds
137,Marawi,PH,2022-08-25 00:17:39,7.9986,124.2928,74.25,81,95,1.34,overcast clouds
138,Saskylakh,RU,2022-08-25 00:10:53,71.9167,114.0833,42.67,82,100,11.74,light rain
139,Sorland,NO,2022-08-25 00:17:40,67.667,12.6934,57.06,64,66,7.78,broken clouds
140,Kupang,ID,2022-08-25 00:17:41,-10.1667,123.5833,79.9,61,94,17.9,overcast clouds
141,Sabha,LY,2022-08-25 00:17:41,27.0377,14.4283,87.37,32,0,18.54,clear sky
142,Fortuna,US,2022-08-25 00:15:59,40.5982,-124.1573,66.09,95,100,11.5,overcast clouds
143,Shimoda,JP,2022-08-25 00:17:42,34.6667,138.95,77.36,78,79,9.84,broken clouds
144,Tromso,NO,2022-08-25 00:17:42,69.6496,18.957,46.42,87,20,3.44,few clouds
145,Nguruka,TZ,2022-08-25 00:17:43,-5.1092,31.0419,67.21,38,3,3.36,clear sky
146,Ramachandrapuram,IN,2022-08-25 00:17:43,16.85,82.0167,78.78,80,100,3.51,overcast clouds
147,Yen Bai,VN,2022-08-25 00:17:44,21.7,104.8667,79.95,92,100,3.67,overcast clouds
148,Kovdor,RU,2022-08-25 00:17:44,67.5662,30.4758,44.67,86,56,4.36,broken clouds
149,La Rioja,ES,2022-08-25 00:16:15,42.25,-2.5,65.98,79,67,6.46,broken clouds
